product_id,status,trading_disabled,first_daily_candle,days_history,median_30d_volume_usd,quote_increment,min_market_funds_usd
WAXL-USD,online,False,2022-10-25,1424,3127.28,0.0001,1
WCT-USD,online,False,2025-08-14,400,9350.04,0.0001,1
WELL-USD,online,False,2024-09-25,723,56309.26,0.000001,1
WET-USD,online,False,2025-12-09,283,11103.97,0.0001,1
WIF-USD,online,False,2024-11-13,674,1133751.36,0.00001,1
WLD-USD,online,False,2025-04-30,506,2101226.74,0.0001,1
WLFI-USD,online,False,2025-09-01,382,562517.26,0.00001,1
WMTX-USD,online,False,2025-11-25,297,17423.81,0.000001,1
WRON-USD,online,False,2026-05-18,123,6067.0,0.00001,1
XAN-USD,online,False,2025-09-29,354,276138.41,0.00001,1
XCN-USD,online,False,2022-06-28,1543,649595.73,0.000001,1
XLM-USD,online,False,2019-03-14,2745,10919014.31,0.000001,1
XPL-USD,online,False,2025-12-02,290,1309934.75,0.00001,1
XRP-USD,online,False,2023-07-13,1163,137301295.62,0.0001,1
XTZ-USD,online,False,2019-08-06,2600,157897.33,0.0001,1
XYO-USD,online,False,2021-09-09,1835,69338.07,0.00001,1
YB-USD,online,False,2025-10-15,338,43255.69,0.0001,1
YFI-USD,online,False,2020-09-15,2194,104068.4,0.01,1
ZAMA-USD,online,False,2026-02-02,228,174477.51,0.00001,1
ZEC-USD,online,False,2020-12-08,2110,109871560.71,0.01,1
ZEN-USD,online,False,2025-01-26,600,444390.05,0.001,1
ZETA-USD,online,False,2024-02-01,960,18540.21,0.000001,1
ZETACHAIN-USD,online,False,2024-09-23,725,2901.07,0.0001,1
ZK-USD,online,False,2024-09-25,723,182317.93,0.000001,1
ZKC-USD,online,False,2025-09-15,368,54322.42,0.0001,1
ZKP-USD,online,False,2025-12-19,273,45626.68,0.00001,1
ZORA-USD,online,False,2025-04-24,512,920906.62,0.000001,1
ZRO-USD,online,False,2024-06-20,820,712932.39,0.0001,1
ZRX-USD,online,False,2018-10-12,2898,118757.2,0.000001,1
