file,sha256,lines
prem_BTCUSDT_4h_2026-09-06.csv,70f0f44e04639c132d3b1ea47e5d0afd7c23b066228ed640b5c594dbdb217ff6,7
prem_BTCUSDT_4h_2026-09-07.csv,b94025d2b5b67a13285aacc7c21765c66ae3963107eb3c3d21071c8b637de784,7
prem_BTCUSDT_4h_2026-09-08.csv,29dbe7908da94751286e715749cbdd96a8f6cc985602a521e826711f86dda485,7
prem_BTCUSDT_4h_2026-09-09.csv,ad0a0d8cfe85473228fd0e44c1a9278849033ea81fb81adba29f722cdc1e934c,7
prem_BTCUSDT_4h_2026-09-10.csv,811b4e384cc2a89ffb5e08bdcdf3e9c00605572ec5f12e80c26a9724acf69fab,7
prem_BTCUSDT_4h_2026-09-11.csv,adf821a4f2da1c67164ddd1e74f48acbc749823c4322a364e87fea1727a4c82f,7
prem_BTCUSDT_4h_2026-09-12.csv,5bf1e895c0f5e0dd6a9525d5d336c2a043a0b49e46d1f9acb6f8529ed570225f,7
prem_BTCUSDT_4h_2026-09-13.csv,bec656206c91a86bbc4f22b1b784a6d277a213a571d6aa051ba5fa4f6f860065,7
prem_BTCUSDT_4h_2026-09-14.csv,4c0eaef3bbf66e17457e048d99150489eafa60bd2d3a52431335848ed7a5267a,7
prem_BTCUSDT_4h_2026-09-15.csv,324447b6b32dcbca8ab55f6f5564ebd160b80aaed36338bc9b04d33d313032bb,7
prem_BTCUSDT_4h_2026-09-16.csv,fad8231d96968a4ac2d9ff8bb70dcd9b1aecc79d1d2cc1553f22e5e7e6b311e7,7
prem_BTCUSDT_4h_2026-09-17.csv,ac06df2588c25112bf3af763bdfd4060db26026a99c891bae3e5d809f9792e53,7
prem_ETHUSDT_4h_2020-01.csv,8541112f05818c4c71a8e08261bffcabc894cae94045954965e841ce75f8e76f,186
prem_ETHUSDT_4h_2020-02.csv,d2553df8cfb4c77d8d010b4f78a03672105e308fc736687128b7edd2dc320f2f,174
prem_ETHUSDT_4h_2020-03.csv,38fa4748837813f707d352a2cf31b70c6b1509c46061205ae0ce4694a25b00ad,186
prem_ETHUSDT_4h_2020-04.csv,e8a437fa0e29566f366de531ef48346f69f836679af933f37784309088c59c10,180
prem_ETHUSDT_4h_2020-05.csv,18670e67ff82147d48f6bbb63cb7ffccd41c620a0ac6176ddfac564ee985c24a,186
prem_ETHUSDT_4h_2020-06.csv,b2f05d0f39906f91b4badb44c5f4832eea766b5b728b50010e736128828818d0,180
prem_ETHUSDT_4h_2020-07.csv,749fdce7f67308ceef72094d5db56ab698bd3b87ece6d66e049b891989917cfa,186
prem_ETHUSDT_4h_2020-08.csv,9e75f3a2fcf8f1fb7a614488cd468059172cd73a0e7a61ec618e4b0afd925908,186
prem_ETHUSDT_4h_2020-09.csv,24d6e91717680fa6785771dc46b62de639580c65e8a22ae156fb493f15e535dd,180
prem_ETHUSDT_4h_2020-10.csv,b0b7e3306b30f1c352f33d473f851ce764adc5f0991ebf1fb255144d0de45e7b,186
prem_ETHUSDT_4h_2020-11.csv,cbebf83eeb88fe7b5a8339e240891f967f2b02d2a704de869a2218c66ad27cf0,180
prem_ETHUSDT_4h_2020-12.csv,c19de3d66c54df839062a888dae0011dcc8b95f403ec80681485d4b951d27644,186
prem_ETHUSDT_4h_2021-01.csv,2b60563876ee11172b4b4a0072776b2bbaae5c384a16bac7a9db870a84baf450,186
prem_ETHUSDT_4h_2021-02.csv,11758fcee4df3136577a17cc9eec7f79cf47374d794211eb7d541dbdc1be888b,168
prem_ETHUSDT_4h_2021-03.csv,63b2bee44c64a5acf838db32afa502020a3629801bfc19a559ef90e0d7fb2cc2,186
prem_ETHUSDT_4h_2021-04.csv,1f7267ab12b70b3d4dced9ccf67f3ee6e0a6b2ea93918712899a2d0c0e9a0779,180
prem_ETHUSDT_4h_2021-05.csv,e011aa71b60635637399c03c306d8fd3059515b77fa8648ae9ed512735b1de78,186
prem_ETHUSDT_4h_2021-06.csv,04f9bb86909a29b5105ba97500e6fc86c18736c0de4b8bdf802f5698e5874552,180
prem_ETHUSDT_4h_2021-07.csv,1d0352ba6ef214cec3310e3a7d1c751f8ed2cda9d70e0a32aa15a013e1a5a49d,156
prem_ETHUSDT_4h_2021-08.csv,f4754ba8367328299a844bd478efbd28a1c0f7b020dc90491ed8f58342900323,186
prem_ETHUSDT_4h_2021-09.csv,7ccff7683cc7085a0e2f8ea610677b6becc5ef5f93993f57421fa24787da7b38,180
prem_ETHUSDT_4h_2021-10.csv,e3c62e3ee28b1b32f6b49d731f2060d63e5ceb480c261458a48df9f4c015ca6d,186
prem_ETHUSDT_4h_2021-11.csv,e8fb734e33326ac3a2f645473caf433946fbfebfd3d786b480fcba03d0d4c386,180
prem_ETHUSDT_4h_2021-12.csv,7d2da991d5c1baad863c7c38bba2f408d186076b7d7a956d5075d9882dbc6a3a,186
prem_ETHUSDT_4h_2022-01.csv,57dd876e187d2f0af79a7aff819c098025d0ff3016d49529eac0905214da2597,186
prem_ETHUSDT_4h_2022-02.csv,5e0623ce8c54f1c64e62ab34334c3bdbf170a0aaa9f6189749ba3b07e60a50a5,169
prem_ETHUSDT_4h_2022-03.csv,df8fadccf17737de33aafda6500fb910ed09761d0d5411e882be916352ee1968,186
prem_ETHUSDT_4h_2022-04.csv,aa928c096f8413604e6654e8f3fee10df816b3a46c209283d7fe8c60ba6efe98,181
prem_ETHUSDT_4h_2022-05.csv,a5a9e441da043e5b44a55885328406c1683f67f4948b18c3ce1884d5bd97f533,186
prem_ETHUSDT_4h_2022-06.csv,9b612f099d1789b3f4e6b4be36523daa72d7f73cd1f86a99f114ca104652c6cb,181
prem_ETHUSDT_4h_2022-07.csv,ec6f7b365994660a9d8fc803fc2746ff79b31ddede06b3bcc31266c735f28319,187
prem_ETHUSDT_4h_2022-08.csv,13d86d38ae897e6b3a59fbc2792d9a7b6c08372f422e17b72dc6430e300ede4a,187
prem_ETHUSDT_4h_2022-09.csv,375a66bf7fc3fe7df6aa7aecafda2593681f8b65d4c8acf6ea73c7723f2947be,181
prem_ETHUSDT_4h_2022-10.csv,2e49c7c84ca275670cdc7693fc72548937f4e305940d19feb94fcb507f69d01a,181
prem_ETHUSDT_4h_2022-11.csv,f9772b6bbcb90309eabdbeb0bd3f4d270bb9fbb0015d53996b22aeb2a243ebb1,181
prem_ETHUSDT_4h_2022-12.csv,3cbe1c901eb1174b1bc330e2b9e7310f66fb16f3d49918aa6ea11bc567d78dfc,187
prem_ETHUSDT_4h_2023-01.csv,e02728d7f1040ce4f57fbee470d02ac3385890b0db5e799661434c770e414b39,187
