symbol,year,window_days,threshold_of_margin,price_move_required_pct,entry_bars,breach_bars,breach_fraction,episodes
ETHUSDT,2026,7,0.75,25.11,1559,34,0.02181,1
ETHUSDT,full_window,7,0.75,25.11,14711,827,0.05622,47
ETHUSDT,2020,7,1.0,33.48,2196,106,0.04827,8
ETHUSDT,2021,7,1.0,33.48,2190,68,0.03105,7
ETHUSDT,2022,7,1.0,33.48,2190,30,0.0137,2
ETHUSDT,2023,7,1.0,33.48,2190,0,0.0,0
ETHUSDT,2024,7,1.0,33.48,2196,15,0.00683,2
ETHUSDT,2025,7,1.0,33.48,2190,38,0.01735,1
ETHUSDT,2026,7,1.0,33.48,1559,20,0.01283,1
ETHUSDT,full_window,7,1.0,33.48,14711,277,0.01883,21
